web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655191967-7441,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,2 1/2 RÉNOVÉ marché Maisonneuve STATION PIE-IX LUMINEUX,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-1-2-renove-marche-maisonneuve-station-pie-ix-lumineux/1621198457,Ad ID 1621198457,null,2 1/2 RÉNOVÉ marché Maisonneuve STATION PIE-IX LUMINEUX,"4460 Ontario Est, Montréal, QC, H1V 1K6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-1-2-renove-marche-maisonneuve-station-pie-ix-lumineux/1621198457#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$870 ,HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,Not Available,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,No,Faubourg Maisonneuve,about 11 hours ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655190513-6973,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,2 Bedroom Apartment for Rent - 300  BOULEVARD COTE VERTU,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-apartment-for-rent-300-boulevard-cote-vertu/1609402591,Ad ID 1609402591,5,2 Bedroom Apartment for Rent - 300  BOULEVARD COTE VERTU,"300 BOULEVARD COTE VERTU, Montreal, QC, H4N 1E1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-apartment-for-rent-300-boulevard-cote-vertu/1609402591#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,225 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,CHATEAU LOUIS,about 18 hours ago,null,Laundry (In Building),null,AmenitiesPool24 Hour SecurityStorage SpaceElevator in Building
1655187576-6020,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Superbe 4 1/2 NDG 1080$ Promotion * All Included 1st YEAR*,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-4-1-2-ndg-1080-promotion-all-included-1st-year/1620776134,Ad ID 1620776134,4,Superbe 4 1/2 NDG 1080$ Promotion * All Included 1st YEAR*,"Montreal, QC H4V 2M7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-4-1-2-ndg-1080-promotion-all-included-1st-year/1620776134#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,080 ",HydroHeatWater,Internet,0,1 Year,01-Jul-22,null,995,Yes,AppliancesLaundry (In Building)Fridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,3 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour Security
1655181134-3826,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"3 1/2 semi-meublé, demi-sous-sol, internet et air climatisé inc.",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-semi-meuble-demi-sous-sol-internet-et-air-climatise-inc/1619341539,Ad ID 1619341539,6,"3 1/2 semi-meublé, demi-sous-sol, internet et air climatisé inc.","5960 Boulevard Pie-IX, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-semi-meuble-demi-sous-sol-internet-et-air-climatise-inc/1619341539#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,035 ",Not Included,Internet,0,1 Year,01-Jul-22,null,750,No,AppliancesLaundry (In Building)Fridge / Freezer,Yes,Personal Outdoor SpaceNot Included,Outdoors only,Michael,13 days ago,null,Internet,null,AmenitiesNot Included
1655182615-4342,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"2 CH - 1 SDB - Westmount - $1,350 /mo",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-ch-1-sdb-westmount-1-350-mo/1619808897,Ad ID 1619808897,null,"2 CH - 1 SDB - Westmount - $1,350 /mo","218 Avenue Redfern, Westmount, QC, H3Z 2G3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-ch-1-sdb-westmount-1-350-mo/1619808897#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,350 ",HydroHeatWater,Not Included,0,Not Available,null,null,651,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceNot Included,No,218 REDFERN,10 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge
1655189105-6506,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beau & Grand 4½ **2 CHAMBRES FERMÉES** LACHINE!! 1er juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-grand-4-2-chambres-fermees-lachine-1er-juillet/1620987098,Ad ID 1620987098,7,Beau & Grand 4½ **2 CHAMBRES FERMÉES** LACHINE!! 1er juillet,"Lachine, QC H8S 2T9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-grand-4-2-chambres-fermees-lachine-1er-juillet/1620987098#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,450 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,800,No,AppliancesLaundry (In Unit)Dishwasher,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Kijiji User,2 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
1655191707-7362,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"2 ½ 3 ½ 4 ½ 5 ½  Appartements, apartment, Montréal",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-3-4-5-appartements-apartment-montreal/1600920546,Ad ID 1600920546,5,"2 ½ 3 ½ 4 ½ 5 ½  Appartements, apartment, Montréal","7400, Sherbrooke Ouest, Montréal, QC, H4B 1R8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-3-4-5-appartements-apartment-montreal/1600920546#map,Apartment,Bedrooms: 1,Bathrooms: 1,Please Contact,Not Included,Not Included,Not Available,Not Available,null,null,Not Available,No,AppliancesNot Included,Not Available,Personal Outdoor SpaceNot Included,Not Available,98. Groupe Laberge,about 12 hours ago,null,null,null,AmenitiesNot Included
1655182861-4427,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Basement for rent 750$ + Electricity available from july 1 st,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/basement-for-rent-750-electricity-available-from-july-1-st/1619879192,Ad ID 1619879192,null,Basement for rent 750$ + Electricity available from july 1 st,"7210 Chem. de la Côte-Saint-Luc, Montréal, QC H4V 3A2, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/basement-for-rent-750-electricity-available-from-july-1-st/1619879192#map,Basement,Bedrooms: 2,Bathrooms: 1,$750 ,Not Included,Not Included,3+,1 Year,01-Jul-22,null,"1,400",Yes,AppliancesFridge / Freezer,No,Personal Outdoor SpaceYardBalcony,No,Gurwinder Singh Ghumaan,10 days ago,Yard,Balcony,null,null
1655181808-4058,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"4-1/2-RUE CARTIER,MONTRÉAL,APPARTEMENT,LOGEMENT À LOUER - Metro",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-rue-cartier-montreal-appartement-logement-a-louer-metro/1619521357,Ad ID 1619521357,15,"4-1/2-RUE CARTIER,MONTRÉAL,APPARTEMENT,LOGEMENT À LOUER - Metro","7040 Rue Cartier, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-rue-cartier-montreal-appartement-logement-a-louer-metro/1619521357#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,000 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,000",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,"LES IMMEUBLES BRO-MAR INC,",12 days ago,null,Balcony,Concierge,AmenitiesConcierge
1655184122-4853,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,5 1/2 à louer,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-a-louer/1620257420,Ad ID 1620257420,6,5 1/2 à louer,"Rue Tellier, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-a-louer/1620257420#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,350 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,200",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,7 days ago,null,Balcony,null,AmenitiesNot Included
1655190876-7087,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 vis à vis de UdeM -   juillet 2022,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-vis-a-vis-de-udem-juillet-2022/1620572861,Ad ID 1620572861,null,4 1/2 vis à vis de UdeM -   juillet 2022,"2767 Édouard Montpetit, Montréal, QC, H3T 1J6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-vis-a-vis-de-udem-juillet-2022/1620572861#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,220 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,about 16 hours ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655191065-7150,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 Condo appartement à louer-Sud-Ouest-Griffintown,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-condo-appartement-a-louer-sud-ouest-griffintown/1605616825,Ad ID 1605616825,15,3 1/2 Condo appartement à louer-Sud-Ouest-Griffintown,"1705 rue William, Montreal, QC, H3J 1R3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-condo-appartement-a-louer-sud-ouest-griffintown/1605616825#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,675 ",HydroHeatWater,Not Included,0,1 Year,01-Jun-22,null,Not Available,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,about 15 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConciergeBicycle ParkingStorage SpaceElevator in Building
1655183997-4811,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Minimalistic Chic Chalet in Saint Donat, Lake Access 2 Minutes",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/minimalistic-chic-chalet-in-saint-donat-lake-access-2-minutes/1610883219,Ad ID 1610883219,7,"Minimalistic Chic Chalet in Saint Donat, Lake Access 2 Minutes","Beaconsfield, QC H9W 5Z7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/minimalistic-chic-chalet-in-saint-donat-lake-access-2-minutes/1610883219#map,House,Bedrooms: 3 + Den,Bathrooms: 2,Please Contact,HydroHeatWater,Cable / TVInternet,3+,Month-to-month,01-May-22,null,"2,500",Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceYardBalcony,No,Rebecca,7 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",null
1655187158-5874,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"spacious 4.5 for July 1, Snowdon, near HEC,UdeM - ID 2142",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacious-4-5-for-july-1-snowdon-near-hec-udem-id-2142/1620706391,Ad ID 1620706391,null,"spacious 4.5 for July 1, Snowdon, near HEC,UdeM - ID 2142","4870 Queen Mary Road, Montreal, QC, H3W 1W9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacious-4-5-for-july-1-snowdon-near-hec-udem-id-2142/1620706391#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,195 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,000",No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,4870 Queen Mary Road,4 days ago,null,Laundry (In Building),"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConciergeStorage Space
1655184103-4847,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Apparemment 3et demie villeray,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apparemment-3et-demie-villeray/1620252726,Ad ID 1620252726,2,Apparemment 3et demie villeray,"1650 Rue des Carrières, Montréal, QC H2G 1V8, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apparemment-3et-demie-villeray/1620252726#map,Apartment,Bedrooms: 1,Bathrooms: 1,$760 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,"12,345",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,7 days ago,null,Balcony,null,AmenitiesBicycle ParkingStorage Space
1655182610-4340,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3.5 à louer Iles des Soeurs/Nun's Island - 201 rue Corot *Prime*,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-201-rue-corot-prime/1619807093,Ad ID 1619807093,13,3.5 à louer Iles des Soeurs/Nun's Island - 201 rue Corot *Prime*,"201 rue Corot, Verdun, QC, H3E 1C4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-201-rue-corot-prime/1619807093#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,479 ",HydroHeatWater,Not Included,0,1 Year,01-Nov-22,null,600,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Yes,Hi-Rise 1,10 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPool24 Hour SecurityStorage SpaceElevator in Building
1655189059-6490,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beautiful 2b/1bath corner unit for rent/Belle unité de coin 2b,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-2b-1bath-corner-unit-for-rent-belle-unite-de-coin-2b/1620984053,Ad ID 1620984053,7,Beautiful 2b/1bath corner unit for rent/Belle unité de coin 2b,"5450 Rue Hadley, Montréal, QC H4E 3M3, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-2b-1bath-corner-unit-for-rent-belle-unite-de-coin-2b/1620984053#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,600 ",Not Included,Not Included,0,1 Year,30-Jun-22,null,902,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Sujeeth,2 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesBicycle ParkingStorage Space
1655186247-5562,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Wanted:
                            ISO Bachelor Apartment",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/iso-bachelor-apartment/1620587120,Ad ID 1620587120,null,Wanted: ISO Bachelor Apartment,"Montreal, QC H1A 0A1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/iso-bachelor-apartment/1620587120#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$750 ,HydroHeatWater,Internet,0,1 Year,01-Nov-22,null,650,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceNot Included,No,Asher Gabriel,5 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655193063-7804,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"FOR RENT, 4 1/2, SHORT TERM, FURNISHED , INTERNET, TV",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-rent-4-1-2-short-term-furnished-internet-tv/1560889914,Ad ID 1560889914,6,"FOR RENT, 4 1/2, SHORT TERM, FURNISHED , INTERNET, TV","Boul Henri-Bourassa O, Montréal, QC, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-rent-4-1-2-short-term-furnished-internet-tv/1560889914#map,Condo,Bedrooms: 2,Bathrooms: 1,"$2,200 ",HydroHeatWater,Cable / TVInternet,3+,Month-to-month,03-Jul-22,null,860,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,SMLocation,about 5 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655192667-7671,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Downtown,For,to,rent,2,bedrooms,2,bathrooms,townhouse",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-for-to-rent-2-bedrooms-2-bathrooms-townhouse/1601491275,Ad ID 1601491275,8,"Downtown,For,to,rent,2,bedrooms,2,bathrooms,townhouse","1750 cedar, Montreal, QC, H3G 1A3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-for-to-rent-2-bedrooms-2-bathrooms-townhouse/1601491275#map,Apartment,Bedrooms: 2,Bathrooms: 2,"$2,663 ",HydroHeatWater,Not Included,1,1 Year,01-Oct-22,null,"1,280",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,about 8 hours ago,Laundry (In Unit),null,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConciergeBicycle ParkingStorage SpaceElevator in Building
1655191993-7449,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,ST MICHEL 5 ½ RENOVÉ BIJOUX IMMENSE TERASSE PARC CLIMATISEUR,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/st-michel-5-renove-bijoux-immense-terasse-parc-climatiseur/1621198671,Ad ID 1621198671,null,ST MICHEL 5 ½ RENOVÉ BIJOUX IMMENSE TERASSE PARC CLIMATISEUR,"91XX IBERVILLE, MONTREAL (ST MICHEL), QC, H1Z 2P9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/st-michel-5-renove-bijoux-immense-terasse-parc-climatiseur/1621198671#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,300 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,Not Available,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,ST MICHEL - 5 1/2 RENOVÉ AU COMPLET - BIJOUX,about 11 hours ago,null,Balcony,null,AmenitiesNot Included
1655184157-4865,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,1 Bdrm + Den available at 6801 Abraham de Sola St,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-den-available-at-6801-abraham-de-sola-st/1608256264,Ad ID 1608256264,19,1 Bdrm + Den available at 6801 Abraham de Sola St,"6801 Abraham de Sola St, Côte Saint-Luc, QC, H3X 0B2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-den-available-at-6801-abraham-de-sola-st/1608256264#map,Apartment,Bedrooms: 1 + Den,Bathrooms: 1,"$2,650 ",Not Included,Not Included,0,1 Year,01-Jan-80,null,Not Available,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,No,Kijiji User,7 days ago,null,null,null,AmenitiesNot Included
1655186056-5497,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Secteur St-Michel, grand 5 1/2 entièrement rénové en 2020",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/secteur-st-michel-grand-5-1-2-entierement-renove-en-2020/1620538217,Ad ID 1620538217,null,"Secteur St-Michel, grand 5 1/2 entièrement rénové en 2020","Montréal, QC H1Z 2P1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/secteur-st-michel-grand-5-1-2-entierement-renove-en-2020/1620538217#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,000 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,800,No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,5 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat",null,AmenitiesStorage Space
1655183721-4718,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beautiful house in Little Burgundy for lease transfer/sublet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-house-in-little-burgundy-for-lease-transfer-sublet/1620162233,Ad ID 1620162233,7,Beautiful house in Little Burgundy for lease transfer/sublet,"Montreal, QC H3J 2M7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-house-in-little-burgundy-for-lease-transfer-sublet/1620162233#map,House,Bedrooms: 3,Bathrooms: 1.5,"$2,400 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,"1,600",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Kathy,8 days ago,Laundry (In Unit),Balcony,Dishwasher,null
1655182714-4377,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Condo 5 1/2 à louer 1 juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-5-1-2-a-louer-1-juillet/1619836359,Ad ID 1619836359,6,Condo 5 1/2 à louer 1 juillet,"4925 Rue des Érables, Montréal, QC H9J 0A2, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-5-1-2-a-louer-1-juillet/1619836359#map,Condo,Bedrooms: 3,Bathrooms: 2,"$1,705 ",HydroHeatWater,Not Included,1,1 Year,01-Jul-22,null,"1,200",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Alexandre leprohon,10 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConciergeBicycle ParkingElevator in Building
